"filename", "language", "JSON", "HTML", "Markdown", "YAML", "Dart", "Shell Script", "Objective-C", "C++", "XML", "Ruby", "Groovy", "Properties", "Java", "Swift", "comment", "blank", "total"
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 6, 14, 94
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\google-services.json", "JSON", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 17, 1, 62
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\12667-heart-beat-red.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\19291-au-rythme-du-coeur.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\2.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\21474-medical-frontliners.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\48595-doctor.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\48627-doctor.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\grab-your-coffee.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\lf30_editor_pkkoxkbf.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\lf30_editor_w7oremfh.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\lot\man-thinking.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\model\categories.json", "JSON", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\model\city.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\model\doctors.json", "JSON", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\model\user.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\assets\svg\bloob.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
